nces_id,state,urbanicity,enrollment,median_income,poverty_rate,pct_white,pm25,priority_r1,priority_r23,r1_fuel_group,is_r1_third_party,IV_Z_R1,is_r3_third_party,IV_Z_R3,IS_R2_GRANTEE,is_r1_loser_third_party,IS_R1_LOSER,is_r3_loser_third_party,IS_R3_LOSER,IV_Z,IS_ADOPTER,IS_ADOPTER_CSBP_ANY,IS_LOSER_R1_only,IS_LOSER_R3_only,IS_LOSER_pooled,Y_R3_apply,wri_any_2023,wri_any_2024,wri_any_2023_24,wri_awarded_by_2023,wri_awarded_by_2024,wri_delivered_by_2023q3,wri_operating_by_2023q3,wri_visible_by_2023q3,wri_post_ann_2022,is_pre_r1_adopter,wri_first_oem,wri_first_dealer,year_first_awarded,year_first_operating,year_first_delivered,wri_post_r1_cum,r1_first_delivery_year,r1_first_delivery_q_index,r1_first_operating_year,r1_first_operating_q_index,r1_early_delivery,r1_late_or_unknown,r1_pre_r3_delivery,r1_post_r3_delivery,r1_delivery_unknown,r1_pre_r3_operating,r1_post_r3_operating,r1_operating_unknown,pct_dem_2020
4500690,SOUTH CAROLINA,Rural,2864.0,45699.0,0.171,0.698,8.826696984,1,0,ZE_only,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,Thomas Built Buses,,2022.0,2023.0,2023.0,0,2023.0,8096.0,2023.0,8096.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3298479852006756
2800360,MISSISSIPPI,Town,998.0,44891.0,0.2189999999999999,0.321,9.268290251,1,1,ZE_only,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,Thomas Built Buses,,2022.0,2024.0,2024.0,0,2024.0,8097.0,2024.0,8097.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3403441682600382
0100002,ALABAMA,Rural,,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.6508941990538537
1700105,ILLINOIS,Rural,344.0,62722.0,0.077,0.958,8.261115701,1,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,,,2024.0,,,1,,,,,,,,,,,,,0.348537662529147
0100006,ALABAMA,Rural,5951.0,56121.0,0.161,0.921,8.733427925,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.1498676081200353
0100007,ALABAMA,Urban,13557.0,95406.0,0.07,0.701,10.20057729,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.4234989599433126
0100008,ALABAMA,Suburban,12473.0,105335.0,0.05,0.736,8.456032865,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.3629223189597913
0100009,ALABAMA,Town,,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.3683930123657572
0100010,ALABAMA,Urban,,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.43389530693804457
0100011,ALABAMA,Suburban,2223.0,62432.0,0.085,0.809,9.843984462,0,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.34041714151107844
0100012,ALABAMA,Town,2471.0,40732.0,0.216,0.863,8.95757098,1,1,ZE_only,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.19611005280289395
0100013,ALABAMA,Suburban,5065.0,108313.0,0.037,0.87,9.76266382,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.3659193181822331
0100018,ALABAMA,Urban,,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.5575851317178562
0100030,ALABAMA,Town,2899.0,46750.0,0.162,0.624,9.23147656,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.2791196226954409
0100060,ALABAMA,Town,1871.0,40516.0,0.2289999999999999,0.7340000000000001,8.647508829,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.15611015490533564
0100090,ALABAMA,Urban,1892.0,39928.0,0.228,0.4429999999999999,9.258542909,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.29845242531824334
0100100,ALABAMA,Rural,2653.0,50321.0,0.142,0.92,8.661800575,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.12843312307270552
0100120,ALABAMA,Town,4840.0,52211.0,0.136,0.733,8.15381751,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.27768863613283234
0100176,ALABAMA,Suburban,,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.2526687789422374
0100180,ALABAMA,Suburban,1538.0,46278.0,0.121,0.8009999999999999,9.227940533,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.2423524974857526
0100185,ALABAMA,Suburban,3354.0,61216.0,0.078,0.7929999999999999,9.256670003,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.43389530693804457
0100188,ALABAMA,Suburban,2654.0,36196.0,0.342,0.473,9.346125739,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.43389530693804457
0100189,ALABAMA,Suburban,1502.0,88312.0,0.048,0.893,9.252448381,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.43389530693804457
