ncessch,precip_mm,tmin_c,is_charter
1200180,48.7869,14.3673,0
1200180,48.7869,14.3673,0
1200240,56.5289,10.179299,0
1200330,55.2199,11.2269,0
1200390,42.6879,13.726299,0
1200390,42.6879,13.726299,0
1200420,57.7389,9.3126,0
1200660,47.437,10.2375,0
1200660,47.437,10.2375,0
1200750,60.2649,9.104199,0
1200780,52.597,10.749499,0
1200840,49.8859,9.547999,0
1200870,73.468796,9.4987,0
1200870,73.468796,9.4987,0
1200930,60.215,9.946099,0
1200930,60.215,9.946099,0
1201080,61.6159,11.7781,0
1201230,70.2999,9.597099,0
1201290,65.0049,11.5935,0
1201320,46.4689,13.8519,0
1201410,49.0849,10.0197,0
1201470,59.7319,9.4895,0
1201500,55.7109,12.1539,0
1201560,76.6839,11.179999,0
1201590,66.125,9.8926,0
1201680,68.1749,9.9794,0
1201770,63.0289,10.603499,0
4843650,25.9749,6.4094996,0
4844810,23.7439,7.0881,0
4839000,28.4489,9.7192,0
4837740,21.065899,8.4559,0
4824750,25.3279,7.4528,0
4826850,25.0469,9.220699,0
4827990,42.326,8.3998995,0
4838820,32.5958,6.9628,0
4899130,28.729,7.101,0
4808550,64.735,8.609799,0
4835370,55.9129,10.479199,0
4807530,35.4939,7.6310997,0
4810260,37.5939,7.9581,0
4843350,39.1539,8.0718,0
4837440,37.5999,7.9347,0
4845120,39.6879,8.3137,0
4819380,45.2029,9.685599,0
4824180,54.1469,9.559999,0
4826070,28.975899,7.6815996,0
4836420,28.8729,7.3806,0
4829400,39.3499,7.2173996,0
4840410,44.465,7.0657997,0
4835760,31.059898,7.4916,0
4809870,33.2199,7.443,0
4846380,51.152,7.4017,0
4807800,34.0779,7.3303,0
4833720,36.9949,7.2198997,0
4837320,38.117,8.0662,0
4811580,27.687899,7.9480996,0
4842060,45.7919,7.9498,0
4808580,57.602898,9.3442,0
4821780,50.8059,8.7087,0
4840350,43.8069,7.5188,0
4831230,23.281,9.5071,0
4839930,20.7199,9.543,0
4843800,21.149899,9.6827,0
4843800,21.149899,9.6827,0
4844960,23.371899,9.9105,0
4833360,40.7259,7.8473997,0
4818060,23.0739,9.7024,0
4826340,23.6339,9.7038,0
4829670,20.677,9.624499,0
4830250,23.458899,9.893499,0
4809410,36.8829,7.717,0
4822530,26.9289,10.0524,0
4828290,30.701899,10.423699,0
4838790,27.0849,10.103,0
4812420,38.381,7.9017,0
4815270,43.3149,9.276199,0
4817390,22.5919,9.8393,0
4823100,21.368,9.6792,0
4828620,26.743,9.6455,0
4834860,21.0639,9.653999,0
4826040,24.326899,9.8505,0
4837170,27.736,10.1469,0
4839360,24.25,9.6651,0
4835250,36.1018,11.2557,0
4819820,30.649,6.6787,0
4836930,35.5039,7.8416,0
4825680,35.4939,7.6601,0
4826790,20.246899,8.0931,0
4837140,20.1189,8.26,0
4838910,23.347898,8.2993,0
4818180,22.885899,9.175,0
4826130,20.8449,9.2136,0
4831040,20.8169,9.507999,0
4835910,22.9909,9.9394,0
4836540,25.878899,9.1504,0
4825410,31.2109,8.215099,0
4811680,30.163,10.467299,0
4839330,23.781,10.0355,0
4846710,22.1728,7.944,0
0407530,26.6099,4.0745,0
0401740,22.35,3.6074998,0
0401160,19.902,2.8523,0
0400720,15.2779,4.5336,0
0409630,13.5699,3.8894,0
0400082,28.4949,4.8666997,0
0400450,23.986,5.3536,0
0401410,20.927,4.526,0
0403450,25.802898,5.9716997,0
0406330,23.447899,6.0084,0
0408340,22.7699,5.3489,0
0408520,24.687,5.4114,0
0405070,34.3709,-1.2332,0
0408910,21.1309,-1.1187999,0
0406030,29.2309,-0.6987,0
0629130,232.791,4.0471,0
0602630,72.486,8.1623,0
0618060,70.277,8.2445,0
0630250,162.7119,4.0032,0
0635110,175.0999,4.9007,0
0638790,245.86589,6.1096,0
0630210,62.143898,5.1012,0
0612070,217.91989,2.2553,0
0642350,103.038895,4.0074,0
0611820,83.1119,4.8905997,0
0626310,85.373,5.3782,0
0614430,95.36,5.0215,0
0622800,190.1669,5.2402,0
0607230,92.6679,4.8958,0
0638730,34.034,3.3135998,0
