nces_id,district_name,state,lea_type,urbanicity,fleet_size,enrollment,median_income,poverty_rate,pct_hispanic,pct_white,pct_black,pm25,is_charter,NCES District ID_x,IS_APPLICANT,Round,IS_ADOPTER,NUM_ADOPTED,Funding Mechanism,IV_Z,NCES District ID_y,School District Prioritized,is_priority,IS_LOTTERY_WINNER,IS_LOTTERY_LOSER
4500690,Abbeville 60,SC,1.0,Rural,33.0,2864.0,45699.0,0.171,0.018,0.7190000000000001,0.287,8.826696984,0,4500690,1,,1,8,LOTTERY_WINNER,1,,,0,1,0
2800360,ABERDEEN SCHOOL DIST,MS,1.0,Town,,998.0,44891.0,0.2189999999999999,0.004,0.322,0.6779999999999999,9.268290251,0,2800360,1,,1,4,LOTTERY_WINNER,1,,,0,1,0
1700105,A-C Central CUSD 262,IL,1.0,Rural,12.0,344.0,62722.0,0.077,0.022,0.972,0.012,8.261115701,0,,0,,0,0,None,0,,,0,0,0
0100006,Marshall County,AL,1.0,Rural,112.0,5951.0,56121.0,0.161,0.118,0.957,0.017,8.733427925,0,,0,,0,0,None,0,,,0,0,0
0100007,Hoover City,AL,1.0,Urban,189.0,13557.0,95406.0,0.07,0.052,0.727,0.205,10.20057729,0,,0,,0,0,None,0,,,0,0,0
0100008,Madison City,AL,1.0,Suburban,109.0,12473.0,105335.0,0.05,0.066,0.775,0.148,8.456032865,0,,0,,0,0,None,0,,,0,0,0
0100011,Leeds City,AL,1.0,Suburban,26.0,2223.0,62432.0,0.085,0.048,0.861,0.138,9.843984462,0,,0,,0,0,None,0,,,0,0,0
0100012,Boaz City,AL,1.0,Town,36.0,2471.0,40732.0,0.216,0.12,0.8759999999999999,0.039,8.95757098,0,0100012,1,R1 - 2022 Rebates,0,0,None,0,0100012,Yes,1,0,1
0100013,Trussville City,AL,1.0,Suburban,72.0,5065.0,108313.0,0.037,0.016,0.907,0.07,9.76266382,0,,0,,0,0,None,0,,,0,0,0
0100030,Alexander City,AL,1.0,Town,33.0,2899.0,46750.0,0.162,0.05,0.649,0.331,9.23147656,0,,0,,0,0,None,0,,,0,0,0
0100060,Andalusia City,AL,1.0,Town,24.0,1871.0,40516.0,0.2289999999999999,0.032,0.754,0.242,8.647508829,0,,0,,0,0,None,0,,,0,0,0
0100090,Anniston City,AL,1.0,Urban,31.0,1892.0,39928.0,0.228,0.035,0.47,0.5329999999999999,9.258542909,0,,0,,0,0,None,0,,,0,0,0
0100100,Arab City,AL,1.0,Rural,27.0,2653.0,50321.0,0.142,0.048,0.954,0.012,8.661800575,0,,0,,0,0,None,0,,,0,0,0
0100120,Athens City,AL,1.0,Town,30.0,4840.0,52211.0,0.136,0.092,0.767,0.172,8.15381751,0,,0,,0,0,None,0,,,0,0,0
0100180,Attalla City,AL,1.0,Suburban,19.0,1538.0,46278.0,0.121,0.031,0.83,0.163,9.227940533,0,,0,,0,0,None,0,,,0,0,0
0100185,Saraland City,AL,1.0,Suburban,44.0,3354.0,61216.0,0.078,0.006,0.8370000000000001,0.143,9.256670003,0,,0,,0,0,None,0,,,0,0,0
0100188,Chickasaw City,AL,1.0,Suburban,11.0,2654.0,36196.0,0.342,0.016,0.501,0.486,9.346125739,0,,0,,0,0,None,0,,,0,0,0
0100189,Satsuma City,AL,1.0,Suburban,18.0,1502.0,88312.0,0.048,0.032,0.898,0.067,9.252448381,0,,0,,0,0,None,0,,,0,0,0
0100190,Alabaster City,AL,1.0,Suburban,129.0,6425.0,83181.0,0.067,0.091,0.748,0.193,9.990708927,0,,0,,0,0,None,0,,,0,0,0
0100194,Pelham City,AL,1.0,Suburban,62.0,3425.0,81606.0,0.0409999999999999,0.125,0.826,0.132,10.10344013,0,,0,,0,0,None,0,,,0,0,0
0100195,Pike Road City,AL,1.0,Rural,43.0,2695.0,109537.0,0.0559999999999999,0.017,0.626,0.31,9.542371308,0,,0,,0,0,None,0,,,0,0,0
0100210,Auburn City,AL,1.0,Urban,119.0,9492.0,54700.0,0.252,0.034,0.7240000000000001,0.188,9.520264684,0,,0,,0,0,None,0,,,0,0,0
0100240,Autauga County,AL,1.0,Rural,159.0,9202.0,62660.0,0.136,0.03,0.782,0.209,9.64178926,0,,0,,0,0,None,0,,,0,0,0
0100270,Baldwin County,AL,1.0,Rural,386.0,31517.0,65543.0,0.093,0.048,0.871,0.099,8.61956412,0,,0,,0,0,None,0,,,0,0,0
0100300,Barbour County,AL,1.0,Rural,18.0,715.0,36864.0,0.223,0.0559999999999999,0.4429999999999999,0.513,8.990656011,0,,0,,0,0,None,0,,,0,0,0
0100330,Bessemer City,AL,1.0,Suburban,41.0,3246.0,32416.0,0.288,0.057,0.23,0.741,10.05846203,0,,0,,0,0,None,0,,,0,0,0
0100360,Bibb County,AL,1.0,Town,62.0,3098.0,54277.0,0.1689999999999999,0.0279999999999999,0.772,0.225,9.401276964,0,,0,,0,0,None,0,,,0,0,0
2501710,Acton-Boxborough,MA,1.0,Suburban,48.0,5197.0,137945.0,0.031,0.035,0.7170000000000001,0.055,6.596857068,0,2501710,1,R1 - 2022 Rebates,0,0,None,0,2501710,No,0,0,1
2501710,Acton-Boxborough,MA,1.0,Suburban,48.0,5197.0,137945.0,0.031,0.035,0.7170000000000001,0.055,6.596857068,0,2501710,1,,1,1,LOTTERY_WINNER,1,2501710,No,0,1,0
0100420,Blount County,AL,1.0,Rural,131.0,7798.0,54157.0,0.128,0.091,0.961,0.016,9.126504808,0,0100420,1,R1 - 2022 Rebates,0,0,None,0,0100420,Yes,1,0,1
0100450,Brewton City,AL,1.0,Town,11.0,1224.0,44528.0,0.184,0.024,0.599,0.389,8.875079996,0,,0,,0,0,None,0,,,0,0,0
0100480,Bullock County,AL,1.0,Town,41.0,1397.0,29063.0,0.309,0.085,0.26,0.6970000000000001,9.111262301,0,,0,,0,0,None,0,,,0,0,0
0100510,Butler County,AL,1.0,Rural,49.0,2900.0,45236.0,0.182,0.016,0.532,0.452,8.796837929,0,,0,,0,0,None,0,,,0,0,0
0100540,Calhoun County,AL,1.0,Rural,164.0,8050.0,54622.0,0.139,0.026,0.856,0.13,9.242740696,0,,0,,0,0,None,0,,,0,0,0
0100600,Chambers County,AL,1.0,Town,65.0,3158.0,47652.0,0.143,0.018,0.645,0.336,9.470850247,0,,0,,0,0,None,0,,,0,0,0
0100630,Cherokee County,AL,1.0,Rural,65.0,3886.0,43475.0,0.15,0.018,0.939,0.054,9.090985367,0,0100630,1,R2 - Grants,0,0,None,0,0100630,Yes,1,0,1
0100660,Chilton County,AL,1.0,Rural,148.0,7858.0,56243.0,0.157,0.08,0.851,0.11,9.505092032,0,,0,,0,0,None,0,,,0,0,0
0100690,Choctaw County,AL,1.0,Rural,49.0,1097.0,38581.0,0.216,0.011,0.574,0.418,8.945013421,0,,0,,0,0,None,0,,,0,0,0
0100720,Clarke County,AL,1.0,Rural,64.0,2171.0,44496.0,0.247,0.015,0.54,0.4529999999999999,9.018934828,0,,0,,0,0,None,0,,,0,0,0
0806900,Adams 12 Five Star Schools,CO,1.0,Suburban,,35747.0,87305.0,0.081,0.316,0.855,0.034,8.731405661,0,0806900,1,R1 - 2022 Rebates,0,0,None,0,0806900,No,0,0,1
0100780,Cleburne County,AL,1.0,Rural,41.0,2507.0,48100.0,0.141,0.027,0.95,0.038,9.098387873,0,,0,,0,0,None,0,,,0,0,0
0100810,Coffee County,AL,1.0,Rural,38.0,2846.0,58810.0,0.158,0.08,0.898,0.081,8.72845026,0,,0,,0,0,None,0,,,0,0,0
0100840,Colbert County,AL,1.0,Rural,52.0,2621.0,56827.0,0.145,0.022,0.857,0.124,7.80064085,0,,0,,0,0,None,0,,,0,0,0
