NCES District ID,IS_APPLICANT,Round,IS_ADOPTER,NUM_ADOPTED,Funding Mechanism,IV_Z
0100005,1,R3 - 2023 Rebates,0,0.0,None,0
0100012,1,R1 - 2022 Rebates,0,0.0,None,0
0100202,1,R1 - 2022 Rebates,0,0.0,None,0
0100211,1,R2 - Grants,0,0.0,None,0
0100213,1,R2 - Grants,0,0.0,None,0
0100390,1,R1 - 2022 Rebates,1,15.0,COMPETITIVE_R2,0
0100420,1,R1 - 2022 Rebates,0,0.0,None,0
0100630,1,R2 - Grants,0,0.0,None,0
0100750,1,R1 - 2022 Rebates,0,0.0,None,0
0100870,1,R3 - 2023 Rebates,0,0.0,None,0
0101020,1,R1 - 2022 Rebates,0,0.0,None,0
0101050,1,R1 - 2022 Rebates,0,0.0,None,0
0101140,1,R1 - 2022 Rebates,0,0.0,None,0
0101350,1,R1 - 2022 Rebates,0,0.0,None,0
0101560,1,R1 - 2022 Rebates,0,0.0,None,0
0101680,1,R1 - 2022 Rebates,0,0.0,None,0
0101730,1,R1 - 2022 Rebates,0,0.0,None,0
0101800,1,R2 - Grants,0,0.0,None,0
0101890,1,R2 - Grants,0,0.0,None,0
0102040,1,R1 - 2022 Rebates,0,0.0,None,0
0102370,1,R1 - 2022 Rebates,0,0.0,None,0
0102650,1,R1 - 2022 Rebates,0,0.0,None,0
0103000,1,R1 - 2022 Rebates,0,0.0,None,0
0103270,1,R2 - Grants,0,0.0,None,0
0103510,1,R1 - 2022 Rebates,0,0.0,None,0
0200240,1,R1 - 2022 Rebates,0,0.0,None,0
0200780,1,R1 - 2022 Rebates,0,0.0,None,0
0400003,1,R1 - 2022 Rebates,0,0.0,None,0
0400004,0,,1,1.0,COMPETITIVE_R2,0
0400019,1,R1 - 2022 Rebates,0,0.0,None,0
0400082,1,R1 - 2022 Rebates,0,0.0,None,0
0400157,1,R1 - 2022 Rebates,0,0.0,None,0
0400243,1,R1 - 2022 Rebates,0,0.0,None,0
0400450,0,,1,6.0,COMPETITIVE_R2,0
0400600,1,R1 - 2022 Rebates,0,0.0,None,0
0400720,1,R1 - 2022 Rebates,0,0.0,None,0
0400960,1,R1 - 2022 Rebates,0,0.0,None,0
0401160,1,R1 - 2022 Rebates,0,0.0,None,0
0401260,1,R1 - 2022 Rebates,0,0.0,None,0
0401680,1,R1 - 2022 Rebates,0,0.0,None,0
0401710,0,,1,4.0,COMPETITIVE_R2,0
0401940,1,R1 - 2022 Rebates,1,15.0,COMPETITIVE_R2,0
0402320,1,R1 - 2022 Rebates,1,1.0,COMPETITIVE_R2,0
0402400,1,R1 - 2022 Rebates,1,1.0,COMPETITIVE_R2,0
0402430,1,R1 - 2022 Rebates,1,2.0,COMPETITIVE_R2,0
0402790,1,R1 - 2022 Rebates,0,0.0,None,0
0402860,1,R1 - 2022 Rebates,1,2.0,COMPETITIVE_R2,0
0403010,1,R3 - 2023 Rebates,1,1.0,COMPETITIVE_R2,0
0403200,1,R1 - 2022 Rebates,0,0.0,None,0
0403290,1,R1 - 2022 Rebates,0,0.0,None,0
0403500,1,R1 - 2022 Rebates,0,0.0,None,0
0403550,1,R1 - 2022 Rebates,0,0.0,None,0
0403730,1,R3 - 2023 Rebates,0,0.0,None,0
0403900,1,R1 - 2022 Rebates,0,0.0,None,0
0404010,1,R1 - 2022 Rebates,1,2.0,COMPETITIVE_R2,0
0404060,1,R1 - 2022 Rebates,0,0.0,None,0
0404290,1,R1 - 2022 Rebates,1,5.0,COMPETITIVE_R2,0
0404320,1,R1 - 2022 Rebates,1,13.0,COMPETITIVE_R2,0
0404440,1,R1 - 2022 Rebates,0,0.0,None,0
0404500,1,R1 - 2022 Rebates,0,0.0,None,0
0404720,1,R1 - 2022 Rebates,0,0.0,None,0
0404770,1,R1 - 2022 Rebates,0,0.0,None,0
0405100,1,R1 - 2022 Rebates,0,0.0,None,0
0405320,1,R1 - 2022 Rebates,0,0.0,None,0
0405460,1,R1 - 2022 Rebates,0,0.0,None,0
0405670,1,R1 - 2022 Rebates,1,6.0,COMPETITIVE_R2,0
0406070,1,R1 - 2022 Rebates,0,0.0,None,0
0406300,1,R1 - 2022 Rebates,1,6.0,COMPETITIVE_R2,0
0406330,1,R1 - 2022 Rebates,1,20.0,COMPETITIVE_R2,0
0406580,1,R1 - 2022 Rebates,1,0.0,COMPETITIVE_R2,0
0406630,1,R1 - 2022 Rebates,0,0.0,None,0
0406740,1,R1 - 2022 Rebates,1,2.0,COMPETITIVE_R2,0
0406780,1,R1 - 2022 Rebates,0,0.0,None,0
0407080,1,R1 - 2022 Rebates,1,1.0,COMPETITIVE_R2,0
0407700,1,R1 - 2022 Rebates,0,0.0,None,0
0408170,1,R3 - 2023 Rebates,0,0.0,None,0
0408230,1,R1 - 2022 Rebates,0,0.0,None,0
0408310,1,R1 - 2022 Rebates,1,14.0,COMPETITIVE_R2,0
0408490,1,R1 - 2022 Rebates,0,0.0,None,0
0408520,1,R1 - 2022 Rebates,1,15.0,COMPETITIVE_R2,0
0408600,1,R1 - 2022 Rebates,0,0.0,None,0
0408640,1,R1 - 2022 Rebates,0,0.0,None,0
0408800,0,,1,10.0,COMPETITIVE_R2,0
0408820,0,,1,2.0,COMPETITIVE_R2,0
0409090,1,R1 - 2022 Rebates,0,0.0,None,0
