0a. Has committed ESBs?,1a. State,1b. Local Education Agency (LEA) or entity name,1c. LEA ID,1d. Street address 1,1e. Street address 2,1f. City,1g. State,1h. ZIP code,1i. Website,1j. Has LEA ID?,1k. LEA type (number),1l. LEA type (name),1m. Supervisory union LEA ID,1n. Locale (full number),1o. Locale broad type (number),1p. Locale broad type (name),1q. Census Region,1r. Census Division,1s. Latitude,1t. Longitude ,2a. Total number of buses,2b. Contractor used for some or all of buses?,3a. Number of ESBs committed ,3b. Number of delivered or operating ESBs,3c. Number of ESBs awarded,3d. Number of ESBs ordered,3e. Number of ESBs delivered,3f. Number of ESBs operating,3g. Number of batches,3h. Size of batch 1,3h. Size of batch 2,3h. Size of batch 3,3h. Size of batch 4,3h. Size of batch 5,3i. Percent of fleet that is electric,3j. Government agency involved (non-funding),3k. Utility/energy company involved 1,3k. Utility/energy company involved 2,3k. Utility/energy company involved 3,3l. Other groups involved 1,3l. Other groups involved 2,3l. Other groups involved 3,3m. Other notes,4a. Tribal school district?,4b. Number of students in district,4c. Number of schools in district,4d. Percentage of schools in district that are Title I schoolwide eligible,4e. Percentage of students in district eligible for free or reduced price lunch,4f. Median household income,4g. Percent of population below the poverty level,4h. Percent one race: White ,4i. Percent race alone or multiracial: White,4j. Percent one race: Black or African American ,4k. Percent race alone or multiracial: Black or African American,4l. Percent one race: American Indian and Alaska Native ,4m. Percent race alone or multiracial: American Indian and Alaska Native,4n. Percent one race: Asian ,4o. Percent race alone or multiracial: Asian,4p. Percent one race: Native Hawaiian and Other Pacific Islander ,4q. Percent race alone or multiracial: Native Hawaiian and Other Pacific Islander,4r. Percent one race: some other race ,4s. Percent race alone or multiracial: Some other race,4t. Percent two or more races,4u. Percent Hispanic or Latino (of any race) ,5a. EPA Region,5b. Percent non-white and/or Hispanic,5c. Quartile: percent non-white and/or Hispanic,5d. Percent low-income (200% of federal poverty level),5e. Quartile: percent low-income,5f. PM2.5 concentration,5g. Quartile: PM2.5 concentration,5h. Ozone concentration,5i. Quartile: ozone concentration,5j. Percent of school children with a disability,5k. Quartile: percent of school children with a disability,5l. Average rate of asthma among adults aged 18 and older,5m. Quartile: average rate of asthma,5n. Qualified for American Rescue Plan funding? ,5o. EPA 2022 Clean School Bus Rebate Program prioritized school district?,5p. EPA 2023 Clean School Bus Grant & Rebate Programs prioritized school district?,5q. WRI Priority Outreach District (POD)?,6a. Has any expression of interest in ESBs?,6b. ARP 2021 waitlist position,6c. DERA school bus rebates 2020 waitlist position,6d. DERA school bus rebates 2021 waitlist position,6e. Applied for ESB funding but not awarded
yes,SOUTH CAROLINA,Abbeville 60,4500690,400 Greenville Street,,Abbeville,SC,29620.0,http://www.acsdsc.org/,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,South Atlantic,34.185163,-82.380158,33.0,,8.0,8.0,0.0,0.0,0.0,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.24242424242424243,,,,,,,,,No,2864.0,9.0,0.8888888888888888,0.8226256983240223,45699.0,0.171,0.698,0.7190000000000001,0.271,0.287,0.002,0.0028699999999999997,0.003,0.006,0.0,0.0,0.001,0.006,0.025,0.018000000000000002,4.0,0.316977107,3.0,0.372405022,4.0,8.826696984,4.0,62.05553919,4.0,0.038,2.0,0.104106182795698,3.0,No,Yes,No,False,1.0,,,,
yes,MISSISSIPPI,ABERDEEN SCHOOL DIST,2800360,1100 W Commerce,,Aberdeen,MS,39730.0,http://www.asdms.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,33.0,3,Town,South,East South Central,33.826076,-88.565636,,,4.0,4.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,No,998.0,3.0,1.0,1.0,44891.0,0.21899999999999997,0.321,0.322,0.677,0.6779999999999999,0.0,0.00678,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.004,4.0,0.382595854,4.0,0.384072636,4.0,9.268290251,4.0,57.59822631,2.0,0.045,2.0,0.106849553786782,4.0,No,Yes,Yes,True,1.0,,,,
no,ALABAMA,Alabama Youth Services,100002,1000 Industrial School Road,,Mt Meigs,AL,36057.0,http://www.dys.alabama.gov/school-district.html,Yes,1.0,Regular public school district that is not a component of a supervisory union,,41.0,4,Rural,South,East South Central,32.376397,-86.084642,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,,0.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,No,No,No,False,1.0,,,,
yes,ILLINOIS,A-C Central CUSD 262,1700105,PO Box 260,,Ashland,IL,62612.0,http://www.a-ccentral.com,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,Midwest,East North Central,39.892816,-90.012787,12.0,,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.16666666666666666,,,,,,,,,No,344.0,3.0,0.3333333333333333,0.45348837209302323,62722.0,0.077,0.958,0.972,0.011000000000000001,0.012,0.012,0.00012,0.0,0.006,0.0,0.0,0.006,0.006,0.013000000000000001,0.022000000000000002,5.0,0.041740465,1.0,0.224170504,2.0,8.261115701,3.0,58.7987628,2.0,0.046,2.0,0.0921559359296482,2.0,No,Yes,No,False,1.0,,,,
no,ALABAMA,Marshall County,100006,12380 US Highway 431 S,,Guntersville,AL,35976.0,http://www.marshallk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,East South Central,34.30577,-86.286958,112.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,5951.0,15.0,0.8,0.5624264829440431,56121.0,0.161,0.9209999999999999,0.9570000000000001,0.011000000000000001,0.017,0.006999999999999999,0.00017,0.002,0.003,0.001,0.001,0.022000000000000002,0.043,0.036000000000000004,0.11800000000000001,4.0,0.201432408,3.0,0.386328322,4.0,8.733427925,4.0,60.65672595,3.0,0.034,2.0,0.0999027777777777,3.0,No,Yes,Yes,False,1.0,,,,
no,ALABAMA,Hoover City,100007,2810 Metropolitan Way,,Hoover,AL,35243.0,http://www.hoovercityschools.net,Yes,1.0,Regular public school district that is not a component of a supervisory union,,13.0,1,Urban,South,East South Central,33.407169,-86.766082,189.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,13557.0,18.0,0.0,0.3112783064099727,95406.0,0.07,0.701,0.727,0.19399999999999998,0.205,0.002,0.0020499999999999997,0.054000000000000006,0.063,0.0,0.001,0.019,0.028999999999999998,0.028999999999999998,0.052000000000000005,4.0,0.286400972,3.0,0.16979525,1.0,10.20057729,4.0,66.56688531,4.0,0.06,3.0,0.0842281726609618,1.0,No,No,No,False,1.0,,,,
no,ALABAMA,Madison City,100008,211 Celtic Drive,,Madison,AL,35758.0,http://www.madisoncity.k12.al.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,South,East South Central,34.686721,-86.745741,109.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,12473.0,11.0,0.0,0.23306341698067826,105335.0,0.05,0.736,0.775,0.14,0.14800000000000002,0.004,0.0014800000000000002,0.067,0.076,0.0,0.002,0.011000000000000001,0.028999999999999998,0.042,0.066,4.0,0.338496343,4.0,0.125339023,1.0,8.456032865,3.0,60.19269388,3.0,0.045,2.0,0.0890497765819439,1.0,No,No,No,False,1.0,,,,
no,ALABAMA,Al Inst Deaf And Blind,100009,205 E South Street,,Talladega,AL,35160.0,http://www.aidb.org,Yes,5.0,State operated agency,,32.0,3,Town,South,East South Central,33.43196,-86.098534,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,,5.0,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,No,No,No,False,1.0,,,,
no,ALABAMA,Al Sch Of Math And Science,100010,1255 Dauphin Street,,Mobile,AL,36604.0,,Yes,5.0,State operated agency,,12.0,1,Urban,South,East South Central,30.686571,-88.065476,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,,0.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,No,No,No,False,1.0,,,,
no,ALABAMA,Leeds City,100011,1517 Hurst Avenue,,Leeds,AL,35094.0,http://www.leedsk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,South,East South Central,33.549781,-86.535914,26.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,2223.0,4.0,0.75,0.537561853351327,62432.0,0.085,0.809,0.861,0.133,0.138,0.001,0.0013800000000000002,0.003,0.004,0.001,0.001,0.002,0.045,0.052000000000000005,0.048,4.0,0.173742652,3.0,0.241731489,2.0,9.843984462,4.0,63.67052054,4.0,0.092,4.0,0.0963131718432654,2.0,Yes,No,Yes,False,1.0,,,,
