spec,N,peer_effect,se,pval,stars,F_first,fs_coef,n_states
A1. Baseline (no w_applicant),13572,0.20089043600132495,0.03348752205903622,1.9858048538878847e-09,***,55572.76787770378,1.05509656008329,50
B1. + w_applicant control (BAD CTRL),13572,-0.20427621986903866,0.057002846575592056,0.00033887228808837655,***,21099.51154662352,0.9153880816079656,50
B2. + w_loser control (CORRECT),13572,0.10947555333019943,0.03857072384260034,0.00453535457606935,***,51841.75442868522,1.0199737141810155,50
C1. Conditional instrument (w_IV_Z_cond),8739,0.02082987663277791,0.05044414090207399,0.6796582269257943,,5074.877203365804,0.28274927082282547,49
C2. Conditional instr + w_applicant,8739,-0.09965972340610119,0.04870893466533669,0.04075385985232227,**,6998.945886397148,0.2342126291092415,49
D. K=4 + w_loser,13572,0.12656423089828994,0.029971527719136956,2.4126934955237545e-05,***,55391.043556041805,1.011776167893896,50
D. K=6 + w_loser,13572,0.10947555333019943,0.03857072384260034,0.00453535457606935,***,51841.75442868522,1.0199737141810155,50
D. K=8 + w_loser,13572,0.07916062014929803,0.045234734614084185,0.08011894476930581,*,48659.493759728124,1.0149603094901136,50
D. K=10 + w_loser,13572,0.06065280274083262,0.04597620480395261,0.18709503709192132,,45263.91834181425,1.016108467718504,50
E. Reduced form (baseline),13572,0.21195341473099472,0.037490203884778264,1.5715095239048135e-08,***,,,50
E. Reduced form (+ w_loser),13572,0.11167653727352375,0.040547145438327686,0.0058828755614181065,***,,,50
E. Reduced form (+ w_applicant),13572,-0.18692989242905933,0.05280080136234782,0.0003996949399813256,***,,,50
