Analysis,Model,K,N,Peer_Effect,SE,P_value
Final Specification,Baseline,6,13572,0.1921311136561339,0.03366988151102915,1.1544496025805984e-08
Final Specification,+CSB Control,6,13572,0.13480932227972886,0.036861801025632815,0.00025503011238248163
Final Specification,Full Model,6,13572,0.16060378749978715,0.03599429176818444,8.122710794422616e-06
K Sensitivity,+CSB Control,4,13572,0.14925378280904844,0.03047992779257377,9.741521531658748e-07
K Sensitivity,+CSB Control,6,13572,0.13480932227972886,0.036861801025632815,0.00025503011238248163
K Sensitivity,+CSB Control,8,13572,0.12633728088668583,0.04185515661032974,0.0025407966925277137
K Sensitivity,+CSB Control,10,13572,0.12979973737800976,0.04347866951830005,0.0028323929617948274
Heterogeneity (Urban),+CSB Control,6,3153,0.05288454151045441,0.06246799057764539,0.39722578401480035
Heterogeneity (Rural),+CSB Control,6,7053,0.17835699899517996,0.050013439339611616,0.00036222064058000214
Heterogeneity (Town/Suburban),+CSB Control,6,3366,0.030662140158467688,0.05832187923035753,0.599068922810063
