specification,sample,n_obs,n_states,n_adopters,adoption_rate,r_squared,w_geo_coef,w_geo_se,w_geo_pval,f_stat_geo,w_clim_coef,w_clim_se,w_clim_pval,f_stat_clim,spec_id,k,controls,state_fe,clustering,w_clim_type
S1_K6,Climate-Restricted,12878,49,880,0.06833359217269762,0.10300188397294863,0.03374870826756837,0.026613125030669683,0.20475413222081107,35575.107572225614,0.43471801545197597,0.02360121932507639,0.0,218003.2252668714,S1,6,Simple,False,None,true_climate
S2_K6,Climate-Restricted,12712,48,873,0.06867526746381372,0.12162504129064067,0.027977973995220395,0.0266821054603432,0.29437747276004034,35162.94425823481,0.4069497360654114,0.022927766488733275,0.0,213542.8196189538,S2,6,Full,False,None,true_climate
S3_K6,Climate-Restricted,12712,48,873,0.06867526746381372,0.1347998146810876,-0.027678519361632903,0.02676010076415276,0.3009863814833218,41652.298417802,0.40713059654695705,0.02277247638166335,0.0,215964.85641564956,S3,6,Full,True,None,true_climate
S4_K6,Climate-Restricted,12712,48,873,0.06867526746381372,0.1347998146810876,-0.027678519361632903,0.04243048379493049,0.5141907145971585,26066.467639408093,0.40713059654695705,0.029102369875649698,0.0,207654.2789591848,S4,6,Full,True,State,true_climate
S5_K6,Full,13572,50,1241,0.09143825523135868,0.1299288889493061,0.19963970549973808,0.03341963755675279,2.3189739017936972e-09,7519.1500088161265,0.021394343700393503,0.030711828767165637,0.48604329510960387,3507.581600267064,S5,6,Full,True,State,geo_donut
S6_K6,Climate-Restricted,12712,48,873,0.06867526746381372,0.08499250560684468,0.036727615442667005,0.040762402145567776,0.36757930514877124,24590.5660758754,0.06194302112262806,0.041685806221552775,0.13729236351989793,9984.22254257762,S6,6,Full,True,State,geo_donut
S1_K10,Climate-Restricted,12878,49,880,0.06833359217269762,0.11852464320504741,0.042406926318424576,0.03330787589398583,0.20295412384281475,33921.791177505795,0.5346464885884195,0.02383802502172782,0.0,290471.6548911163,S1,10,Simple,False,None,true_climate
S2_K10,Climate-Restricted,12712,48,873,0.06867526746381372,0.13495215629008983,0.03514253782714638,0.0336138921319261,0.2958027477352849,32945.94715023949,0.5022727062067692,0.023458117505610544,0.0,286022.5859546502,S2,10,Full,False,None,true_climate
S3_K10,Climate-Restricted,12712,48,873,0.06867526746381372,0.14779730621658793,-0.04755757485400025,0.03341398079591548,0.15465392472258888,40037.91938701115,0.5045864878685192,0.023297085702230196,0.0,293877.37267079204,S3,10,Full,True,None,true_climate
S4_K10,Climate-Restricted,12712,48,873,0.06867526746381372,0.14779730621658793,-0.04755757485400025,0.04925398946831278,0.3342654887348304,14284.673973132634,0.5045864878685192,0.029599509116213188,0.0,158320.25765098608,S4,10,Full,True,State,true_climate
S5_K10,Full,13572,50,1241,0.09143825523135868,0.12377450021343372,0.18503506499535827,0.037583486281397356,8.509352096286449e-07,5780.307502428303,0.050205613425020834,0.02862608442792519,0.07945767837849949,5607.185411460985,S5,10,Full,True,State,geo_donut
S6_K10,Climate-Restricted,12712,48,873,0.06867526746381372,0.08498932572932538,0.05760726625119683,0.050051166962304945,0.24974560839034488,21601.78765638894,0.04838621611935845,0.029714038642903208,0.1034409848293425,11092.526351613147,S6,10,Full,True,State,geo_donut
