K,outcome,controls,coef,se,pval,stars,F_first,N,n_states,y_mean
4,First-ever R3,baseline,0.0041962587836746335,0.027346865589004326,0.8780468125027845,,6289.127981698464,12620,48,0.00792393026941363
4,First-ever R3,+ w_loser,0.0029262423953534955,0.027512071039638382,0.9152950408137301,,6350.067430783845,12620,48,0.00792393026941363
4,Any-event R3,baseline,0.016460374578176923,0.031597867024348296,0.6024133815999348,,5532.801186511786,12620,48,0.01220285261489699
4,Any-event R3,+ w_loser,0.014520418307851446,0.031651031650819735,0.6464021875042683,,5663.7616595601185,12620,48,0.01220285261489699
6,First-ever R3,baseline,0.0037922003056780063,0.028948306949271026,0.8957760699533874,,5979.299659093454,12620,48,0.00792393026941363
6,First-ever R3,+ w_loser,0.0038081069109554555,0.028790623272291222,0.8947715273869732,,6070.018477089047,12620,48,0.00792393026941363
6,Any-event R3,baseline,0.021652983549996563,0.03506046317235761,0.5368457866603866,,5286.9778815753525,12620,48,0.01220285261489699
6,Any-event R3,+ w_loser,0.02093193270944338,0.034791636556906855,0.5474158542100391,,5424.472684328338,12620,48,0.01220285261489699
6,RF First-ever,baseline,0.0019281780169110125,0.014918216470553905,0.8971599112328151,,,12620,48,0.00792393026941363
6,RF First-ever,+ w_loser,0.0019451997900973217,0.014906485517304025,0.8961759793182681,,,12620,48,0.00792393026941363
6,RF Any-event,baseline,0.011925346629205259,0.019572881012349268,0.5423394815133804,,,12620,48,0.01220285261489699
6,RF Any-event,+ w_loser,0.011605649496302366,0.019560105705892117,0.552958547356697,,,12620,48,0.01220285261489699
8,First-ever R3,baseline,0.0028872251306578667,0.03549790187619102,0.9351754666944767,,5816.765399310967,12620,48,0.00792393026941363
8,First-ever R3,+ w_loser,0.0031567632985192162,0.03537014136883311,0.9288837198681734,,5896.518199115317,12620,48,0.00792393026941363
8,Any-event R3,baseline,0.02189780887748327,0.043363847160969596,0.6135739630563444,,5212.3548871674375,12620,48,0.01220285261489699
8,Any-event R3,+ w_loser,0.021896946638172543,0.04315310353216732,0.6118569231267106,,5330.527299723328,12620,48,0.01220285261489699
10,First-ever R3,baseline,-0.019799932334011283,0.03337212584083372,0.552975384778978,,5842.438174892069,12620,48,0.00792393026941363
10,First-ever R3,+ w_loser,-0.019570422759204287,0.03352242941282401,0.5593543068406241,,5927.869947871415,12620,48,0.00792393026941363
10,Any-event R3,baseline,-0.005698539313201356,0.04278566160606532,0.8940446525687897,,5203.959473616958,12620,48,0.01220285261489699
10,Any-event R3,+ w_loser,-0.005619612199238899,0.042824676104509005,0.8955983528041191,,5327.737039636749,12620,48,0.01220285261489699
