analysis,outcome,variable,coef,se,pval,stars,N
All-source,First-ever R3,w_R1_early,0.00928323398328322,0.03695944250379422,0.8016799415163118,,12833
All-source,First-ever R3,w_R1_late,-0.048194383111546876,0.03986425307195071,0.22667729063187836,,12833
All-source,Any R3,w_R1_early,0.018139620422380508,0.03778587806993131,0.6311822496410653,,12833
All-source,Any R3,w_R1_late,-0.06204302561549703,0.04240687670487904,0.14345599064300776,,12833
Geographic,R3_CSBP,Pacific_late,-0.3367746852217399,,0.0003005736199862608,***,1486
Geographic,R3_CSBP,East South Central_late,-0.3081036280096707,,0.0010221635272146964,***,568
Geographic,R3_CSBP,New England_late,-0.2620262927912822,,0.02554980772542478,**,904
Geographic,R3_CSBP,Mountain_late,-0.20979695028476664,,0.0016057325457114332,***,1060
Geographic,R3_CSBP,East North Central_late,-0.156102571276881,,0.011693591388628528,**,2689
Geographic,R3_CSBP,West North Central_late,-0.07730875686368485,,0.20997012226235245,,1971
Geographic,R3_CSBP,West South Central_late,-0.022550088074039257,,0.8438732298348499,,1796
Geographic,R3_CSBP,South Atlantic_late,0.03794099833091561,,0.7619308327060578,,639
Geographic,R3_CSBP,Mid-Atlantic_late,0.0457110029660059,,0.7064452202001933,,1720
