specification,sample,n_obs,w_geo_coef,w_geo_se,w_geo_pval,w_clim_coef,w_clim_se,w_clim_pval,iv_z_coef,iv_z_se,r_squared,f_stat_geo,f_stat_clim
KNN-4,Full Sample,13004,0.024507596666183518,0.01269595854696729,0.053563943255465096,-0.007053907683708394,0.016698636810695323,0.6727154438876708,0.9614924959030678,0.006026015309037994,0.778667167343682,19562.731949916073,4783.038153431238
KNN-4,No Charters,12972,0.0246672664994404,0.013693640589304022,0.071645120249193,-0.008431357728684752,0.017051939618538646,0.6209873255169542,0.9614273954744048,0.006044556432527697,0.77839621363756,19412.591467849717,4640.3106808828725
KNN-6,Full Sample,13004,0.033796760189061636,0.019346239900554223,0.08064738898038226,-0.02237561262900778,0.01704212649819952,0.18919677866733475,0.9615769797741144,0.005993303284502339,0.7786502709913384,16365.22025206923,5276.424695665832
KNN-6,No Charters,12972,0.031023033657147203,0.017973398780832095,0.08433793057171823,-0.019129462015184062,0.017888939652600543,0.2849138920009069,0.9615709749648909,0.006014816219978749,0.7783821980522689,12216.300378633901,5509.349465276555
KNN-8,Full Sample,13004,0.022829654088978746,0.020016460487652293,0.2540597288088866,-0.010138244396450169,0.019027675592899123,0.5941611608506978,0.9614388442442561,0.006039029032023649,0.7784895329822155,11891.318826831539,15183.19744164539
KNN-8,No Charters,12972,0.026373339770245474,0.02203138517357622,0.23127521169581566,-0.017441159572917586,0.019310584619534846,0.36642416707001835,0.9614438373708865,0.006051568354560293,0.7781716619458965,14675.3097136837,14286.13576693875
KNN-10,Full Sample,13004,0.017922508878647214,0.02260274082715255,0.4278155761327995,-0.013866191587406318,0.015764141999493105,0.37907424149787605,0.9615162440723224,0.006042298269951341,0.7783187103313285,6142.152181667608,12415.795017276027
KNN-10,No Charters,12972,0.015168944813368501,0.02152833326830588,0.4810568508253099,-0.01251785658586102,0.016348195190882594,0.4438532424411119,0.9614774563457946,0.0060659320521738525,0.7780385777534169,5710.788529107452,11504.624281428109
KNN-12,Full Sample,13004,0.02194849934864762,0.022209105891432716,0.3230225001219944,-0.02773071225992285,0.013147832230203906,0.034931886146966296,0.96157512918224,0.006043222279551478,0.7781848232958329,6158.660223361025,11129.894937151528
KNN-12,No Charters,12972,0.020706215307609632,0.0229144687993953,0.3661913071546705,-0.027322404555397917,0.012530409169530141,0.029221320824614594,0.9615045144709646,0.006053192372413221,0.7778990184227128,6072.664337314955,7293.265004691967
KNN-15,Full Sample,13004,0.02852999823092328,0.024419731738098888,0.24267874709545767,-0.05442528738537811,0.015375734576737077,0.0004006018856776983,0.9620931021022044,0.005974627262162266,0.7779885455266113,4842.427435934769,6500.06842627647
KNN-15,No Charters,12972,0.029195776054578237,0.024393147212709076,0.23135163635046618,-0.05560914989389265,0.014573456095737153,0.00013575162245116346,0.9619442575457535,0.006009671194131981,0.7777757998101429,5239.425091253581,6726.027099176532
KNN-20,Full Sample,13004,0.015891632891471996,0.029958606287669214,0.5957978803648452,-0.041095632046435404,0.010842245255661432,0.00015045036777117105,0.9620866223836778,0.005920695156998898,0.7780929475319739,3408.917885460295,11939.440496262197
KNN-20,No Charters,12972,0.014136031715166641,0.03035717294778304,0.6414609974375964,-0.039340760354727555,0.01197130096185232,0.0010152866977621855,0.9619518238413861,0.005956751907913771,0.7778291408042777,3353.227511172811,13536.9680265752
Distance-25km,Full Sample,13004,-0.008763998178182103,0.010843700818766835,0.41896913198270624,-0.021491820589797372,0.02358007524732297,0.362063657173052,0.9619490180585818,0.0059391719500850974,0.7777445062658712,9435.90703802467,3495.225106739864
Distance-25km,No Charters,12972,-0.008716940107886373,0.010831259625277357,0.4209381730163577,-0.02234281270745453,0.023506072183306196,0.34185196443457855,0.9618758648212419,0.005956972424705379,0.7774887312852377,9417.918648859537,3559.2806917644225
Distance-50km,Full Sample,13004,0.005511254246747699,0.023566408770538498,0.8150932098973043,-0.08647214984368956,0.04080356919681661,0.03407103020064173,0.9624177601481696,0.005957501383533823,0.7773719201685294,3341.1047032903703,1815.2752242028103
Distance-50km,No Charters,12972,0.00560350261692355,0.0235885994737826,0.8122291214091215,-0.08914522728398655,0.040613872657749725,0.028167524637514818,0.96235581766149,0.005975416635579023,0.7771019107950133,3398.3907738134826,1842.1501956372297
Distance-75km,Full Sample,13004,0.054732553985406884,0.0392232937358668,0.16289240904170388,-0.20050466588587845,0.06937683010148195,0.003851424444071938,0.9620681781656725,0.006118628777908438,0.7769662866075426,1371.0342801878153,1812.3689523724597
Distance-75km,No Charters,12972,0.05502359755147479,0.039734298752308446,0.16611716697206313,-0.2048122422834595,0.07028901018173264,0.0035699147488392757,0.9620059034008267,0.006139834724976353,0.7766867483419104,1385.1177499396097,1837.1946817924115
Distance-100km,Full Sample,13004,-0.011283841508173742,0.056315519449948455,0.8411925967307032,-0.15124973981236955,0.1061885022032367,0.1543447806449758,0.9625413986650305,0.006018568800595795,0.7768769164934302,1672.5270401385071,1031.0028783091475
Distance-100km,No Charters,12972,-0.012691319839574389,0.05684804292338513,0.8233410180082994,-0.1532211220144859,0.10753167627591433,0.15418816242072042,0.9624848353214057,0.006035772933136942,0.7765992048057723,1708.6587063950788,1044.4400221683431
