specification,sample,n_obs,w_geo_coef,w_geo_se,w_geo_pval,f_stat_geo
KNN-4,Full Sample,13219,-0.012283439204302193,0.028655278404487592,0.6681689581137327,23995.18816270963
KNN-4,No Charters,13187,-0.020398077389410352,0.0275929271130031,0.45975507204153665,19660.85771352536
KNN-6,Full Sample,13219,-0.0017848535206744787,0.047052612479168504,0.96974098703641,11347.121321150833
KNN-6,No Charters,13187,0.00659083660061896,0.04597919413430114,0.8860185935724156,10197.979900600189
KNN-8,Full Sample,13219,-0.011948201983121631,0.051299506717463125,0.8158307803403886,10678.538349331962
KNN-8,No Charters,13187,0.006141478638953868,0.050570230784750037,0.9033389366105218,12839.55529141071
KNN-10,Full Sample,13219,-0.018151722185848485,0.04683918725011594,0.6983617947014995,6864.347151127396
KNN-10,No Charters,13187,-0.028524908086479117,0.046922834268543316,0.5432464896562914,7482.305676629495
KNN-12,Full Sample,13219,-0.003071206588790232,0.05721963284472849,0.9571948977114504,6973.783964061311
KNN-12,No Charters,13187,-0.0025045566485996096,0.059682777994194115,0.9665270152809087,6225.435956565084
KNN-15,Full Sample,13219,0.0002107072245774999,0.0699187713247842,0.9975954985523459,5380.126785253146
KNN-15,No Charters,13187,-0.004947290349305022,0.06956584827944506,0.9433049139038492,4958.001373816229
KNN-20,Full Sample,13219,0.10374699969740941,0.06316143051411283,0.10047216550524296,4091.514449955414
KNN-20,No Charters,13187,0.08520144179236167,0.0662066294860171,0.19812845920695699,4123.579249188224
Distance-25km,Full Sample,13219,-0.037196763463963944,0.041722994379058576,0.37265181538218406,9274.631632107448
Distance-25km,No Charters,13187,-0.03375352923850283,0.041353787410067545,0.41437790310429645,9232.053277313305
Distance-50km,Full Sample,13219,0.03123204451256001,0.05877991940720351,0.5951841092120107,4184.919500066545
Distance-50km,No Charters,13187,0.026002117630939292,0.05911111494506561,0.6600200961609763,4264.377383482242
Distance-75km,Full Sample,13219,0.1724646944065924,0.10058478623829474,0.08641490446123701,1579.0401083681445
Distance-75km,No Charters,13187,0.170199399886803,0.1006383306634242,0.09079888597672858,1581.7986595630875
Distance-100km,Full Sample,13219,0.1802038608587626,0.13871710018696318,0.19391833040713413,1316.0550705236237
Distance-100km,No Charters,13187,0.17449865122558883,0.13905033913760578,0.20950362629102104,1324.2570322353022
