estimand,K,loser_ctrl,spec,n_obs,y_mean,rf_coef,rf_se,rf_pval,rf_stars
App_Margin,6,False,"K=6, R1-loser=No ",12388,0.04981,0.04964,0.029322,0.0905,*
App_Margin,6,True,"K=6, R1-loser=Yes",12388,0.04981,0.05075,0.029072,0.0809,*
App_Margin,10,False,"K=10, R1-loser=No ",12388,0.04981,0.080247,0.042976,0.0619,*
App_Margin,10,True,"K=10, R1-loser=Yes",12388,0.04981,0.080992,0.042645,0.0575,*
App_Margin,15,False,"K=15, R1-loser=No ",12388,0.04981,0.06682,0.052879,0.2064,
App_Margin,15,True,"K=15, R1-loser=Yes",12388,0.04981,0.066766,0.052757,0.2057,
App_Margin_Priority,6,False,"  Priority subset, loser=No ",6402,0.04702,0.115907,0.050449,0.0216,**
App_Margin_Priority,6,True,"  Priority subset, loser=Yes",6402,0.04702,0.118897,0.050469,0.0185,**
R2_split_R2-nbr present,6,True,R2 hetero (R2-nbr present),1140,0.04474,0.064938,0.065784,0.3236,
R2_split_R2-nbr absent,6,True,R2 hetero (R2-nbr absent ),11248,0.05032,0.04575,0.033895,0.1771,
R2_additive_without R2 ctrl,6,True,R2 additive (without R2 ctrl),12388,0.04981,0.05075,0.029072,0.0809,*
R2_additive_with R2 ctrl,6,True,R2 additive (with R2 ctrl   ),12388,0.04981,0.052524,0.028981,0.0699,*
App_Exposed_winner,6,True,Applicant-exposed sample (winner coef),7085,0.05307,0.040386,0.038503,0.2942,
App_Exposed_loser,6,True,Applicant-exposed sample (loser coef),7085,0.05307,0.005827,0.02106,0.782,
AppLuck_condwin,6,False,Applicant-luck reparam (p_win_given_apply),7085,0.05307,0.004174,0.007578,0.5817,
AppLuck_intensity,6,False,Applicant-luck reparam (app_intensity),7085,0.05307,0.013144,0.022046,0.551,
DistDecay_Uniform 1/K (w6),6,True,Distance-decay (Uniform 1/K (w6) ),12388,0.04981,0.05075,0.029072,0.0809,*
DistDecay_Inv-dist  (wd6),6,True,Distance-decay (Inv-dist  (wd6)),12388,0.04981,0.0369,0.028387,0.1936,
