estimand,outcome,K,loser_ctrl,n_obs,y_mean,rf_coef,rf_se,rf_pval,rf_stars
AllSource,wri_any_2023_24,6,False,12388,0.05239,0.017814,0.03083,0.5634,
AllSource,wri_any_2023_24,6,True,12388,0.05239,0.020574,0.030307,0.4972,
AllSource,wri_any_2023_24,10,False,12388,0.05239,0.037368,0.034401,0.2774,
AllSource,wri_any_2023_24,10,True,12388,0.05239,0.039161,0.033588,0.2437,
AllSource,wri_any_2023_24,15,False,12388,0.05239,0.029622,0.045605,0.516,
AllSource,wri_any_2023_24,15,True,12388,0.05239,0.029302,0.045092,0.5158,
AllSource,wri_any_2024,6,False,12388,0.03528,0.006972,0.02338,0.7655,
AllSource,wri_any_2024,6,True,12388,0.03528,0.008518,0.023208,0.7136,
AllSource,wri_any_2024,10,False,12388,0.03528,0.027858,0.030543,0.3617,
AllSource,wri_any_2024,10,True,12388,0.03528,0.028741,0.030212,0.3414,
AllSource,wri_any_2024,15,False,12388,0.03528,0.01254,0.041024,0.7599,
AllSource,wri_any_2024,15,True,12388,0.03528,0.012422,0.040932,0.7615,
Delivery_split_early,wri_any_2023_24,6,True,12388,0.05239,0.01191,0.038266,0.7556,
Delivery_split_late,wri_any_2023_24,6,True,12388,0.05239,0.033595,0.042525,0.4295,
Delivery_split_early,wri_any_2024,6,True,12388,0.03528,0.004102,0.032483,0.8995,
Delivery_split_late,wri_any_2024,6,True,12388,0.03528,0.006595,0.027941,0.8134,
