section,label,coef,se,p,stars,n,ymean
S1_outcomes,"  Full, R2 grant application  (competitive, pre-R3)",0.005172,0.023462,0.8265,,12388,0.0352
S1_outcomes,"  Full, Any post-R1 CSBP entry (R2 OR R3)",0.012803,0.033164,0.7012,,12388,0.0714
S1_outcomes,"  Full, R3 rebate application [reference]",0.035705,0.027324,0.1977,,12388,0.0498
S1_outcomes,"  Full, WRI cumulative post-R1 [reference]",0.016827,0.021511,0.438,,12388,0.0454
S1_outcomes,"  Prio, R2 grant application  (competitive, pre-R3)",0.038357,0.02982,0.2046,,6402,0.0351
S1_outcomes,"  Prio, Any post-R1 CSBP entry (R2 OR R3)",0.090166,0.04379,0.0451,**,6402,0.0692
S1_outcomes,"  Prio, R3 rebate application [reference]",0.112414,0.04456,0.0151,**,6402,0.047
S1_outcomes,"  Prio, WRI cumulative post-R1 [reference]",0.040557,0.028023,0.1545,,6402,0.0412
S2_conley,State-clustered|wri_post_r1_cum,0.016827,0.021511,0.438,,12388,0.0454
S2_conley,Conley_100km|wri_post_r1_cum,0.016827,0.022061,0.4456,,12388,0.0454
S2_conley,Conley_200km|wri_post_r1_cum,0.016827,0.016372,0.3041,,12388,0.0454
S2_conley,Conley_300km|wri_post_r1_cum,0.016827,0.019553,0.3895,,12388,0.0454
S2_conley,State-clustered|Y_R3_apply,0.035705,0.027324,0.1977,,12388,0.0498
S2_conley,Conley_100km|Y_R3_apply,0.035705,0.027416,0.1928,,12388,0.0498
S2_conley,Conley_200km|Y_R3_apply,0.035705,0.027998,0.2022,,12388,0.0498
S2_conley,Conley_300km|Y_R3_apply,0.035705,0.030196,0.237,,12388,0.0498
S2_conley,State-clustered|Y_any_post_r1,0.012803,0.033164,0.7012,,12388,0.0714
S2_conley,Conley_100km|Y_any_post_r1,0.012803,0.029678,0.6662,,12388,0.0714
S2_conley,Conley_200km|Y_any_post_r1,0.012803,0.033579,0.703,,12388,0.0714
S2_conley,Conley_300km|Y_any_post_r1,0.012803,0.038101,0.7369,,12388,0.0714
S3_donut,K6|wri_post_r1_cum,0.016827,0.021511,0.438,,12388,0.0454
S3_donut,Donut|wri_post_r1_cum,0.007436,0.014049,0.5991,,12388,0.0454
S3_donut,K6|Y_any_post_r1,0.012803,0.033164,0.7012,,12388,0.0714
S3_donut,Donut|Y_any_post_r1,0.003947,0.019584,0.8411,,12388,0.0714
S3_donut,K6|Y_R3_apply,0.035705,0.027324,0.1977,,12388,0.0498
S3_donut,Donut|Y_R3_apply,0.018311,0.015361,0.2392,,12388,0.0498
S4_vendor,No_vendor|wri_post_r1_cum,0.016827,0.021511,0.438,,12388,0.0454
S4_vendor,With_vendor|wri_post_r1_cum,0.014257,0.018637,0.4481,,12388,0.0454
S4_vendor,No_vendor|Y_any_post_r1,0.012803,0.033164,0.7012,,12388,0.0714
S4_vendor,With_vendor|Y_any_post_r1,0.011247,0.035112,0.7501,,12388,0.0714
S4_vendor,No_vendor|Y_R3_apply,0.035705,0.027324,0.1977,,12388,0.0498
S4_vendor,With_vendor|Y_R3_apply,0.034887,0.027933,0.2179,,12388,0.0498
S5_priority,PM25_Q1|wri_post_r1_cum,0.079845,0.035887,0.0335,**,2935,0.0296
S5_priority,PM25_Q2|wri_post_r1_cum,0.01553,0.043633,0.7239,,3081,0.0532
S5_priority,PM25_Q3|wri_post_r1_cum,-0.0282,0.034241,0.4159,,3154,0.0422
S5_priority,PM25_Q4|wri_post_r1_cum,0.034107,0.081033,0.6772,,3218,0.0556
S5_priority,Poverty_Q1|wri_post_r1_cum,-0.022018,0.043268,0.6133,,3141,0.0372
S5_priority,Poverty_Q2|wri_post_r1_cum,0.033,0.043969,0.4567,,3098,0.0368
S5_priority,Poverty_Q3|wri_post_r1_cum,0.006998,0.066879,0.9171,,3123,0.0471
S5_priority,Poverty_Q4|wri_post_r1_cum,0.029702,0.053981,0.5848,,3026,0.0611
S5_priority,High PM2.5 (above median)|wri_post_r1_cum,0.01015,0.047601,0.8325,,3201,0.0528
S5_priority,Low PM2.5  (below median)|wri_post_r1_cum,0.067688,0.03384,0.0523,*,3201,0.0297
S5_priority,High poverty (above median)|wri_post_r1_cum,0.073533,0.050576,0.1526,,3216,0.0569
S5_priority,Low poverty  (below median)|wri_post_r1_cum,0.005181,0.032061,0.8723,,3186,0.0254
