test,spec,description,peer_effect,se,pval,stars,N,expected,F_first
Placebo outcome,pct_dem_2020,County Dem vote share 2020,0.054896014303432494,0.02042858967510381,0.007205054134227229,***,13572,Null,
Placebo outcome (+w_loser),pct_dem_2020,County Dem vote share 2020 (controls include w_loser),0.047450238194859384,0.019230407708440582,0.013607589027896161,**,13572,Null,
Placebo outcome,poverty_rate,District poverty rate,-0.0019497991005879012,0.004203296024929681,0.642738130684402,,13572,Null,
Placebo outcome (+w_loser),poverty_rate,District poverty rate (controls include w_loser),-0.0022907848354379867,0.004410062242850362,0.6034504490981765,,13572,Null,
Placebo outcome,pm25,PM2.5 concentration,0.3902744989124898,0.2405321228700929,0.10468643420828005,,13572,Null,
Placebo outcome (+w_loser),pm25,PM2.5 concentration (controls include w_loser),0.25297857270923885,0.1863357289609182,0.17457499034876012,,13572,Null,
Placebo outcome,pct_white,Pct white population,0.02373906936892034,0.016379254790469366,0.14724333337757933,,13572,Null,
Placebo outcome (+w_loser),pct_white,Pct white population (controls include w_loser),0.024949121133677643,0.0155285960590669,0.10812972203407067,,13572,Null,
Placebo outcome,median_income,Median household income,-3135.6494633988477,2570.339429668392,0.22248915787986956,,13572,Null,
Placebo outcome (+w_loser),median_income,Median household income (controls include w_loser),-1786.0101113263518,2074.2427123485318,0.38921490673778303,,13572,Null,
Placebo outcome,enrollment,Student enrollment,7367.697360185513,3268.031714169268,0.02416627166903318,**,13572,Null,
Placebo outcome (+w_loser),enrollment,Student enrollment (controls include w_loser),7088.446080352278,3420.786720633042,0.03824974103425438,**,13572,Null,
Donut network (3-8),"IV-2SLS, neighbors 3-8",Excludes 2 closest neighbors,0.037550900218970895,0.03390209562353478,0.2680226352063937,,13572,Positive (if informational),55200.1182102648
Baseline (1-6),"IV-2SLS, KNN-6 (baseline)",Standard KNN-6 for comparison,0.20089043600132495,0.03348752205903622,1.9858048538878847e-09,***,13572,Positive,
Far ring (7-12),"IV-2SLS, neighbors 7-12",Second-ring neighbors (placebo),0.02072974298839711,0.02938375616625016,0.48050965397576784,,13572,Attenuated / null,53605.65994766259
Medium ring (4-9),"IV-2SLS, neighbors 4-9",Medium-ring neighbors,-0.032369399262421106,0.03016899298112617,0.2832998232738948,,13572,Intermediate,54631.58051369898
