model,k,n,coef,se,pval,dv
Linear 2SLS on log(count+1),6,13572,0.05747831892763067,0.03653258527983606,0.11563921748569683,log(NUM_ADOPTED+1)
Linear 2SLS on raw count,6,13572,0.3616795742509371,0.37365721802752344,0.333071921063278,NUM_ADOPTED
Poisson IV (Control Function),6,13572,1.1967365047014724,0.479853491114507,0.0,NUM_ADOPTED (count)
NegBin IV (Control Function),6,13572,0.9598512749027363,0.1715299857886842,2.1957884798101194e-08,NUM_ADOPTED (count)
Binary 2SLS (benchmark),6,13572,0.0635262851941063,0.021069616388428993,0.0025692329352535737,IS_ADOPTER
Linear 2SLS on log(count+1),10,13572,0.033735296526041125,0.044652530938446656,0.449944876347528,log(NUM_ADOPTED+1)
Linear 2SLS on raw count,10,13572,0.22685231585548138,0.46440485825506245,0.625210146841642,NUM_ADOPTED
Poisson IV (Control Function),10,13572,0.9568233797020824,0.46363709041263185,0.0,NUM_ADOPTED (count)
NegBin IV (Control Function),10,13572,0.9244910818551401,0.2170772510666216,2.0551672915389433e-05,NUM_ADOPTED (count)
Binary 2SLS (benchmark),10,13572,0.05941365415025768,0.023514835469847443,0.01151576633955731,IS_ADOPTER
