specification,sample,n_obs,n_states,n_adopters,adoption_rate,r_squared,w_geo_coef,w_geo_se,w_geo_pval,f_stat_geo,k,w_clim_coef,w_clim_se,w_clim_pval,f_stat_clim,distance_km
KNN-4,Full,13572,50,1241,0.09143825523135868,0.8103246064646219,0.056680229886591604,0.019554891176670097,0.0037492920797035367,9544.47115704123,4.0,,,,,
KNN-4,Climate-Restricted,12712,48,873,0.06867526746381372,0.8199680498889733,0.004928432055019971,0.010452440279057265,0.6372764477773805,48713.93820261029,4.0,,,,,
KNN-6,Full,13572,50,1241,0.09143825523135868,0.8098967537600906,0.0635262851941063,0.021069616388428993,0.0025692329352535737,6460.358616060945,6.0,,,,,
KNN-6,Climate-Restricted,12712,48,873,0.06867526746381372,0.8201245747487036,0.017655819709590792,0.015139078007994114,0.243516853611629,14209.601869212027,6.0,,,,,
KNN-8,Full,13572,50,1241,0.09143825523135868,0.8092788664633692,0.05992077750741798,0.02262410052650593,0.008084089198725053,4564.855018917893,8.0,,,,,
KNN-8,Climate-Restricted,12712,48,873,0.06867526746381372,0.8199540959738431,0.005395130775786405,0.01535852786024924,0.7253789273913138,12392.723879829002,8.0,,,,,
KNN-10,Full,13572,50,1241,0.09143825523135868,0.8091033202383391,0.05941365415025768,0.023514835469847443,0.01151576633955731,2843.62484782031,10.0,,,,,
KNN-10,Climate-Restricted,12712,48,873,0.06867526746381372,0.820026844935974,0.013833968165073707,0.017569927285164297,0.4310674842140907,6682.074531497209,10.0,,,,,
KNN-12,Full,13572,50,1241,0.09143825523135868,0.8090796304578491,0.057204293944779216,0.022742760463421715,0.011893961167422917,2145.505074707343,12.0,,,,,
KNN-12,Climate-Restricted,12712,48,873,0.06867526746381372,0.820071941229026,0.019186523091625718,0.01790754237496191,0.2839800206904277,4767.427985397112,12.0,,,,,
KNN-15,Full,13572,50,1241,0.09143825523135868,0.8089338461723412,0.06097562622283581,0.022460849944137565,0.006632551672158815,1597.8430727382731,15.0,,,,,
KNN-15,Climate-Restricted,12712,48,873,0.06867526746381372,0.8200751731126883,0.020383704866377195,0.02028352442625252,0.3149262209061443,3779.2255987586223,15.0,,,,,
KNN-20,Full,13572,50,1241,0.09143825523135868,0.808709549142813,0.055243347246716645,0.02554815663923582,0.030593346767942897,1243.9174744084883,20.0,,,,,
KNN-20,Climate-Restricted,12712,48,873,0.06867526746381372,0.8199955424898255,0.012275919589715079,0.022529220896576045,0.5858300164972035,2215.414317472189,20.0,,,,,
KNN-4,Climate-Restricted,12712,48,873,0.06867526746381372,0.819825689763738,,,,,4.0,-0.009803779137872212,0.0048021357268902345,0.04119662466792584,182145.47856301497,
KNN-6,Climate-Restricted,12712,48,873,0.06867526746381372,0.819815617109533,,,,,6.0,-0.015509478224267459,0.004818350579387632,0.0012871227057922319,239706.4772329798,
KNN-8,Climate-Restricted,12712,48,873,0.06867526746381372,0.8198181823408811,,,,,8.0,-0.016763940157110996,0.0052366651887951815,0.0013682679597446512,234987.572012101,
KNN-10,Climate-Restricted,12712,48,873,0.06867526746381372,0.8198186092563962,,,,,10.0,-0.018475329289971143,0.005348005971870047,0.0005510685770144796,209271.7321573103,
KNN-12,Climate-Restricted,12712,48,873,0.06867526746381372,0.8198252566077445,,,,,12.0,-0.020208180696229844,0.005390832246398372,0.00017781037220210294,194250.57590247082,
KNN-15,Climate-Restricted,12712,48,873,0.06867526746381372,0.8198338828722243,,,,,15.0,-0.02040559775749226,0.005393200884586661,0.00015458967004788882,237482.9025006525,
KNN-20,Climate-Restricted,12712,48,873,0.06867526746381372,0.8198485199824966,,,,,20.0,-0.02306929537802266,0.005457505500934866,2.367467854313965e-05,223965.04115446314,
KNN-4,Climate-Restricted,12712,48,873,0.06867526746381372,0.8199075755859491,0.006164174911531456,0.010294901467507122,0.5493329586614246,54416.64255682839,4.0,-0.010194828557260616,0.004573937723194056,0.02582086808436035,199204.171845489,
KNN-6,Climate-Restricted,12712,48,873,0.06867526746381372,0.8200685426108903,0.02038337376523619,0.015041525239658784,0.1753729300755602,22149.06991020825,6.0,-0.017018845566075358,0.004477142325734608,0.00014395389483556897,255293.50102787022,
KNN-8,Climate-Restricted,12712,48,873,0.06867526746381372,0.8199020524558855,0.008698421674587065,0.015123633031477606,0.5651869870276907,15965.990346820388,8.0,-0.017406244139856253,0.004847649807471949,0.00032984640677891086,240818.0324157346,
KNN-10,Climate-Restricted,12712,48,873,0.06867526746381372,0.8199775291169272,0.017900836952034038,0.01759152869950287,0.3088762668522216,11764.755086406647,10.0,-0.019761046359653034,0.004970547649783242,7.019389855389413e-05,219394.82716459304,
KNN-12,Climate-Restricted,12712,48,873,0.06867526746381372,0.8200346989469908,0.023952856043576887,0.01815649190364511,0.18708731275101664,11251.245463357229,12.0,-0.021885587581488397,0.005212025765709521,2.6803014378407042e-05,194571.85706210753,
KNN-15,Climate-Restricted,12712,48,873,0.06867526746381372,0.8200504000318375,0.02582494540601854,0.020450374114226674,0.20665732115214874,7600.151887422499,15.0,-0.022188693206992127,0.005129456085438158,1.5202067062736191e-05,236862.3789053968,
KNN-20,Climate-Restricted,12712,48,873,0.06867526746381372,0.819995130505699,0.01921188755341907,0.022902950818974355,0.4015596820419445,3238.9792180993313,20.0,-0.024277334568877817,0.005250288743168661,3.7641006458422055e-06,226716.44381962385,
Dist-25km,Full,13572,50,1241,0.09143825523135868,0.8078125532611136,-0.006902801231067679,0.00854605234804039,0.41925287711820913,6473.578356001201,,,,,,25.0
Dist-50km,Full,13572,50,1241,0.09143825523135868,0.8078574542058677,0.002828698567924004,0.021704711497082887,0.8963081336695033,2737.9444765528406,,,,,,50.0
Dist-75km,Full,13572,50,1241,0.09143825523135868,0.8078943731386802,0.017284614013359345,0.02890554543985392,0.5498607584948696,1298.844790805641,,,,,,75.0
Dist-100km,Full,13572,50,1241,0.09143825523135868,0.8078484869778777,0.0030548275745694298,0.03321587166729984,0.9267227396030246,1037.8803869465507,,,,,,100.0
KNN-4,No Charters (Geo Only),13538,50,1239,0.09152016546018614,0.8099145041023292,0.05577319695733407,0.019518746088550833,0.0042710431503194535,9792.300022892827,4.0,,,,,
KNN-4,No Charters (Horse Race),12681,48,872,0.06876429303682675,0.81970233536189,0.005900066201913773,0.01034972897924988,0.5686304704736593,53833.048432951444,4.0,-0.01027468998141412,0.004583186066590825,0.02497284171563141,198673.57731400803,
KNN-6,No Charters (Geo Only),13538,50,1239,0.09152016546018614,0.8095096917889841,0.06261424318297126,0.021505159499420126,0.003595923785449928,5988.558503705436,6.0,,,,,
KNN-6,No Charters (Horse Race),12681,48,872,0.06876429303682675,0.8198652183296585,0.020196331026006986,0.01507129640338557,0.18022822111462578,22599.842709673667,6.0,-0.017088546321398113,0.004481374704903861,0.00013715816239057155,246212.3856742195,
KNN-8,No Charters (Geo Only),13538,50,1239,0.09152016546018614,0.8090048788695546,0.06121377444410503,0.02312994100621245,0.00813254968037569,4180.451141741664,8.0,,,,,
KNN-8,No Charters (Horse Race),12681,48,872,0.06876429303682675,0.8196980598937557,0.00851137986051953,0.015185130844185293,0.5751333194107164,15952.123427438664,8.0,-0.017487552057667388,0.004836979613052933,0.00029989954691611587,238468.2149584294,
KNN-10,No Charters (Geo Only),13538,50,1239,0.09152016546018614,0.8087267786148555,0.055166112633879605,0.024327588278264232,0.023351407458602536,2872.0159170897505,10.0,,,,,
KNN-10,No Charters (Horse Race),12681,48,872,0.06876429303682675,0.819772946436585,0.01759533334540525,0.017664754118525625,0.31921608791504186,11678.00991943075,10.0,-0.019841363948561508,0.004975734911920442,6.67380983214727e-05,213701.56655056545,
KNN-12,No Charters (Geo Only),13538,50,1239,0.09152016546018614,0.8087824317303003,0.05691797518449615,0.023208281272775286,0.014187306520901277,2116.8401767373853,12.0,,,,,
KNN-12,No Charters (Horse Race),12681,48,872,0.06876429303682675,0.8198311438666104,0.023807785206135468,0.018251092465065462,0.19207744030592533,11429.235037976838,12.0,-0.021998082806014452,0.00522104514375984,2.516123611795429e-05,194536.5948892168,
KNN-15,No Charters (Geo Only),13538,50,1239,0.09152016546018614,0.8086416815651771,0.06175302802313487,0.024175934578963224,0.010639599613073036,1532.593915691747,15.0,,,,,
KNN-15,No Charters (Horse Race),12681,48,872,0.06876429303682675,0.8198454454097046,0.02550184298852365,0.02057875499671505,0.21525975003085795,7769.113907940302,15.0,-0.022346566635569554,0.005133738857445732,1.3435862021404787e-05,238798.82945815515,
KNN-20,No Charters (Geo Only),13538,50,1239,0.09152016546018614,0.8084696356212454,0.059012877595095325,0.026259985982537374,0.02462375251883686,1232.5402017075105,20.0,,,,,
KNN-20,No Charters (Horse Race),12681,48,872,0.06876429303682675,0.8197936826531746,0.01937344256825213,0.023065612703122327,0.4009490338541517,3275.9891984116057,20.0,-0.024478425400571213,0.005260354581128463,3.2653869417309522e-06,224886.43720512578,
