specification,sample,n_obs,n_states,n_adopters,adoption_rate,r_squared,w_geo_coef,w_geo_se,w_geo_pval,f_stat_geo,k
KNN-4,Full,13572,50,1241,0.09143825523135868,0.8103246064646219,0.056680229886591604,0.019554891176670097,0.0037492920797035367,9544.47115704123,4
KNN-4,Climate-Restricted,12712,48,873,0.06867526746381372,0.8199680498889733,0.004928432055019971,0.010452440279057265,0.6372764477773805,48713.93820261029,4
KNN-6,Full,13572,50,1241,0.09143825523135868,0.8098967537600906,0.0635262851941063,0.021069616388428993,0.0025692329352535737,6460.358616060945,6
KNN-6,Climate-Restricted,12712,48,873,0.06867526746381372,0.8201245747487036,0.017655819709590792,0.015139078007994114,0.243516853611629,14209.601869212027,6
KNN-8,Full,13572,50,1241,0.09143825523135868,0.8092788664633692,0.05992077750741798,0.02262410052650593,0.008084089198725053,4564.855018917893,8
KNN-8,Climate-Restricted,12712,48,873,0.06867526746381372,0.8199540959738431,0.005395130775786405,0.01535852786024924,0.7253789273913138,12392.723879829002,8
KNN-10,Full,13572,50,1241,0.09143825523135868,0.8091033202383391,0.05941365415025768,0.023514835469847443,0.01151576633955731,2843.62484782031,10
KNN-10,Climate-Restricted,12712,48,873,0.06867526746381372,0.820026844935974,0.013833968165073707,0.017569927285164297,0.4310674842140907,6682.074531497209,10
KNN-12,Full,13572,50,1241,0.09143825523135868,0.8090796304578491,0.057204293944779216,0.022742760463421715,0.011893961167422917,2145.505074707343,12
KNN-12,Climate-Restricted,12712,48,873,0.06867526746381372,0.820071941229026,0.019186523091625718,0.01790754237496191,0.2839800206904277,4767.427985397112,12
KNN-15,Full,13572,50,1241,0.09143825523135868,0.8089338461723412,0.06097562622283581,0.022460849944137565,0.006632551672158815,1597.8430727382731,15
KNN-15,Climate-Restricted,12712,48,873,0.06867526746381372,0.8200751731126883,0.020383704866377195,0.02028352442625252,0.3149262209061443,3779.2255987586223,15
KNN-20,Full,13572,50,1241,0.09143825523135868,0.808709549142813,0.055243347246716645,0.02554815663923582,0.030593346767942897,1243.9174744084883,20
KNN-20,Climate-Restricted,12712,48,873,0.06867526746381372,0.8199955424898255,0.012275919589715079,0.022529220896576045,0.5858300164972035,2215.414317472189,20
