1c. LEA ID,1s. Latitude,1t. Longitude,1a. State,1b. Local Education Agency (LEA) or entity name,1l. LEA type (name),adoption_count,adopted,knn5_peer_adopt_count,knn5_peer_adopt_share,knn5_peer_adopt_share_idw,within_50km_peer_count,within_50km_peer_adopt_count,within_50km_peer_adopt_share,within_100km_peer_count,within_100km_peer_adopt_count,within_100km_peer_adopt_share
4500690,34.185163,-82.380158,SOUTH CAROLINA,Abbeville 60,Regular public school district that is not a component of a supervisory union,8,1,1,0.2,0.15469532570455172,14,3,0.21428571428571427,50,10,0.2
2800360,33.826076,-88.565636,MISSISSIPPI,ABERDEEN SCHOOL DIST,Regular public school district that is not a component of a supervisory union,4,1,0,0.0,0.0,13,1,0.07692307692307693,31,3,0.0967741935483871
100002,32.376397,-86.084642,ALABAMA,Alabama Youth Services,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.12470343887322545,10,1,0.1,28,3,0.10714285714285714
1700105,39.892816,-90.012787,ILLINOIS,A-C Central CUSD 262,Regular public school district that is not a component of a supervisory union,2,1,0,0.0,0.0,32,1,0.03125,133,8,0.06015037593984962
100006,34.30577,-86.286958,ALABAMA,Marshall County,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.3086800251657899,12,1,0.08333333333333333,51,4,0.0784313725490196
100007,33.407169,-86.766082,ALABAMA,Hoover City,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,20,2,0.1,45,4,0.08888888888888889
100008,34.686721,-86.745741,ALABAMA,Madison City,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.2202822014146107,9,1,0.1111111111111111,42,3,0.07142857142857142
100009,33.43196,-86.098534,ALABAMA,Al Inst Deaf And Blind,State operated agency,0,0,1,0.2,0.007001045620176331,10,1,0.1,55,5,0.09090909090909091
100010,30.686571,-88.065476,ALABAMA,Al Sch Of Math And Science,State operated agency,0,0,0,0.0,0.0,7,0,0.0,19,3,0.15789473684210525
100011,33.549781,-86.535914,ALABAMA,Leeds City,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,28,2,0.07142857142857142,50,5,0.1
100012,34.213187,-86.160456,ALABAMA,Boaz City,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.34716589814533955,12,1,0.08333333333333333,54,4,0.07407407407407407
100013,33.617396,-86.618612,ALABAMA,Trussville City,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.1497311042239122,24,2,0.08333333333333333,54,5,0.09259259259259259
100018,33.520933,-86.812936,ALABAMA,Alabama School of Fine Arts,State operated agency,0,0,1,0.2,0.7510111644407684,20,2,0.1,49,4,0.08163265306122448
100030,32.940361,-85.957909,ALABAMA,Alexander City,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.1623166515443484,6,1,0.16666666666666666,43,3,0.06976744186046512
100060,31.327923,-86.482833,ALABAMA,Andalusia City,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,7,0,0.0,23,0,0.0
100090,33.708165,-85.822863,ALABAMA,Anniston City,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,14,1,0.07142857142857142,55,5,0.09090909090909091
100100,34.328111,-86.487787,ALABAMA,Arab City,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.1794236924757965,13,2,0.15384615384615385,47,5,0.10638297872340426
100120,34.8092,-86.949816,ALABAMA,Athens City,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,10,1,0.1,40,4,0.1
100176,32.582667,-86.391816,ALABAMA,JF Ingram State Technical College,State operated agency,0,0,1,0.2,0.17160147991996144,11,1,0.09090909090909091,36,3,0.08333333333333333
100180,33.998996,-86.108597,ALABAMA,Attalla City,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.09101497087642729,15,1,0.06666666666666667,58,6,0.10344827586206896
100185,30.862118,-88.126675,ALABAMA,Saraland City,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,8,0,0.0,22,3,0.13636363636363635
100188,30.763732,-88.075055,ALABAMA,Chickasaw City,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,7,0,0.0,19,3,0.15789473684210525
100189,30.849239,-88.067799,ALABAMA,Satsuma City,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,7,0,0.0,23,3,0.13043478260869565
100190,33.226138,-86.824059,ALABAMA,Alabaster City,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,22,2,0.09090909090909091,45,5,0.1111111111111111
100194,33.287785,-86.811329,ALABAMA,Pelham City,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,22,2,0.09090909090909091,48,5,0.10416666666666667
100195,32.342123,-86.125991,ALABAMA,Pike Road City,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.13295632812426142,11,1,0.09090909090909091,27,2,0.07407407407407407
100197,30.672421,-88.138607,ALABAMA,MAEF Public Charter Schools,Independent charter district,0,0,0,0.0,0.0,8,0,0.0,21,4,0.19047619047619047
100199,32.586288,-88.189067,ALABAMA,University Charter School,Independent charter district,0,0,0,0.0,0.0,6,0,0.0,29,1,0.034482758620689655
100201,33.553991,-86.872386,ALABAMA,Legacy Prep,Independent charter district,0,0,2,0.4,0.40333032295014487,22,3,0.13636363636363635,50,3,0.06
2900017,39.063408,-94.582752,MISSOURI,ACADEMIE LAFAYETTE,Independent charter district,8,1,0,0.0,0.0,66,1,0.015151515151515152,145,6,0.041379310344827586
100203,32.341405,-86.223619,ALABAMA,LEAD Academy,Independent charter district,0,0,1,0.2,0.27183192445810694,9,1,0.1111111111111111,28,2,0.07142857142857142
100204,33.537508,-86.763339,ALABAMA,i3 Academy,Independent charter district,0,0,1,0.2,0.2027197378660375,21,2,0.09523809523809523,50,5,0.1
100207,32.352192,-86.328259,ALABAMA,LIFE Academy,Independent charter district,0,0,1,0.2,0.5351102768034672,9,1,0.1111111111111111,30,2,0.06666666666666667
100208,32.607571,-87.335131,ALABAMA,Breakthrough Charter School,Independent charter district,0,0,1,0.2,0.06658484446327129,6,1,0.16666666666666666,26,1,0.038461538461538464
100210,32.599209,-85.464096,ALABAMA,Auburn City,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,9,1,0.1111111111111111,37,5,0.13513513513513514
100211,33.470676,-86.829899,ALABAMA,Magic City Acceptance Academy,Independent charter district,0,0,1,0.2,0.14327042074124016,20,2,0.1,45,4,0.08888888888888889
100212,34.725714,-86.655826,ALABAMA,Alabama School of Cyber Technology and Engineering,State operated agency,0,0,1,0.2,0.3817045063107675,11,1,0.09090909090909091,45,5,0.1111111111111111
100213,33.397344,-86.956911,ALABAMA,Alabama Aerospace and Aviation,Independent charter district,0,0,1,0.2,0.03190388854957705,20,2,0.1,43,3,0.06976744186046512
100240,32.462807,-86.474304,ALABAMA,Autauga County,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.2130963878695169,9,1,0.1111111111111111,30,2,0.06666666666666667
100270,30.912515,-87.787491,ALABAMA,Baldwin County,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,7,0,0.0,22,2,0.09090909090909091
100300,31.881958,-85.461165,ALABAMA,Barbour County,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,7,0,0.0,41,3,0.07317073170731707
100330,33.401041,-86.957423,ALABAMA,Bessemer City,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.031220633800717268,20,2,0.1,43,3,0.06976744186046512
100360,32.9455,-87.143074,ALABAMA,Bibb County,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,8,0,0.0,41,4,0.0975609756097561
2501710,42.47787,-71.455511,MASSACHUSETTS,Acton-Boxborough,Regular public school district that is not a component of a supervisory union,1,1,0,0.0,0.0,236,20,0.0847457627118644,546,41,0.07509157509157509
100420,33.946027,-86.476206,ALABAMA,Blount County,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,15,1,0.06666666666666667,60,7,0.11666666666666667
100450,31.118078,-87.073117,ALABAMA,Brewton City,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,2,0,0.0,15,0,0.0
100480,32.144752,-85.716937,ALABAMA,Bullock County,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,7,0,0.0,40,3,0.075
100510,31.815031,-86.626547,ALABAMA,Butler County,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,2,0,0.0,28,2,0.07142857142857142
100540,31.321586,-86.482976,ALABAMA,Calhoun County,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,7,0,0.0,23,0,0.0
100600,32.890345,-85.382695,ALABAMA,Chambers County,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.29190095422111867,8,1,0.125,43,5,0.11627906976744186
100630,34.151676,-85.678793,ALABAMA,Cherokee County,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.18097581645138014,13,1,0.07692307692307693,50,5,0.1
100660,32.868878,-86.622212,ALABAMA,Chilton County,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,8,0,0.0,48,5,0.10416666666666667
100690,32.084838,-88.2326,ALABAMA,Choctaw County,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,3,0,0.0,23,0,0.0
100720,31.709669,-87.780118,ALABAMA,Clarke County,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,2,0,0.0,17,0,0.0
806900,39.926677,-104.966609,COLORADO,Adams 12 Five Star Schools,Regular public school district that is not a component of a supervisory union,4,1,0,0.0,0.0,42,6,0.14285714285714285,78,10,0.1282051282051282
