1c. LEA ID,awarded_q,awarded_method,applied_q,applied_method,interest_q,interest_method,order_q,delivered_q,operating_q,award_to_order_q,order_to_delivered_q,delivered_to_operating_q,award_to_operating_q
4500690,2022Q4,exact,2022Q2,backcast_award_minus_2q,2022Q1,from_applied_minus_1q,nanQnan,2023Q4,2023Q4,,,0.0,4.0
2800360,2022Q4,exact,2022Q2,backcast_award_minus_2q,2022Q1,from_applied_minus_1q,2022Q4,2024Q1,2024Q1,0.0,5.0,0.0,5.0
100002,,unknown,,unknown,,unknown,,,,,,,
1700105,2024Q2,exact,2023Q4,backcast_award_minus_2q,2023Q3,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
100006,,unknown,,unknown,,unknown,,,,,,,
100007,,unknown,,unknown,,unknown,,,,,,,
100008,,unknown,,unknown,,unknown,,,,,,,
100009,,unknown,,unknown,,unknown,,,,,,,
100010,,unknown,,unknown,,unknown,,,,,,,
100011,,unknown,,unknown,,unknown,,,,,,,
100012,,unknown,,unknown,,unknown,,,,,,,
100013,,unknown,,unknown,,unknown,,,,,,,
100018,,unknown,,unknown,,unknown,,,,,,,
100030,,unknown,,unknown,,unknown,,,,,,,
100060,,unknown,,unknown,,unknown,,,,,,,
100090,,unknown,,unknown,,unknown,,,,,,,
100100,,unknown,,unknown,,unknown,,,,,,,
100120,,unknown,,unknown,,unknown,,,,,,,
100176,,unknown,,unknown,,unknown,,,,,,,
100180,,unknown,,unknown,,unknown,,,,,,,
100185,,unknown,,unknown,,unknown,,,,,,,
100188,,unknown,,unknown,,unknown,,,,,,,
100189,,unknown,,unknown,,unknown,,,,,,,
100190,,unknown,,unknown,,unknown,,,,,,,
100194,,unknown,,unknown,,unknown,,,,,,,
100195,,unknown,,unknown,,unknown,,,,,,,
100197,,unknown,,unknown,,unknown,,,,,,,
100199,,unknown,,unknown,,unknown,,,,,,,
100201,,unknown,,unknown,,unknown,,,,,,,
2900017,2023Q4,exact,2023Q2,backcast_award_minus_2q,2023Q1,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
100203,,unknown,,unknown,,unknown,,,,,,,
100204,,unknown,,unknown,,unknown,,,,,,,
100207,,unknown,,unknown,,unknown,,,,,,,
100208,,unknown,,unknown,,unknown,,,,,,,
100210,,unknown,,unknown,,unknown,,,,,,,
100211,,unknown,,unknown,,unknown,,,,,,,
100212,,unknown,,unknown,,unknown,,,,,,,
100213,,unknown,,unknown,,unknown,,,,,,,
100240,,unknown,,unknown,,unknown,,,,,,,
100270,,unknown,,unknown,,unknown,,,,,,,
100300,,unknown,,unknown,,unknown,,,,,,,
100330,,unknown,,unknown,,unknown,,,,,,,
100360,,unknown,,unknown,,unknown,,,,,,,
2501710,2024Q2,exact,2023Q4,backcast_award_minus_2q,2023Q3,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
100420,,unknown,,unknown,,unknown,,,,,,,
100450,,unknown,,unknown,,unknown,,,,,,,
100480,,unknown,,unknown,,unknown,,,,,,,
100510,,unknown,,unknown,,unknown,,,,,,,
100540,,unknown,,unknown,,unknown,,,,,,,
100600,,unknown,,unknown,,unknown,,,,,,,
100630,,unknown,,unknown,,unknown,,,,,,,
100660,,unknown,,unknown,,unknown,,,,,,,
100690,,unknown,,unknown,,unknown,,,,,,,
100720,,unknown,,unknown,,unknown,,,,,,,
806900,2023Q4,exact,2021Q2,program_calendar,2021Q1,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
100780,,unknown,,unknown,,unknown,,,,,,,
100810,,unknown,,unknown,,unknown,,,,,,,
100840,,unknown,,unknown,,unknown,,,,,,,
100870,,unknown,,unknown,,unknown,,,,,,,
100900,,unknown,,unknown,,unknown,,,,,,,
100930,,unknown,,unknown,,unknown,,,,,,,
100960,,unknown,,unknown,,unknown,,,,,,,
100990,,unknown,,unknown,,unknown,,,,,,,
101020,,unknown,,unknown,,unknown,,,,,,,
101050,,unknown,,unknown,,unknown,,,,,,,
101080,,unknown,,unknown,,unknown,,,,,,,
101110,,unknown,,unknown,,unknown,,,,,,,
101140,,unknown,,unknown,,unknown,,,,,,,
101170,,unknown,,unknown,,unknown,,,,,,,
101200,,unknown,,unknown,,unknown,,,,,,,
101230,,unknown,,unknown,,unknown,,,,,,,
101260,,unknown,,unknown,,unknown,,,,,,,
101290,,unknown,,unknown,,unknown,,,,,,,
101320,,unknown,,unknown,,unknown,,,,,,,
101350,,unknown,,unknown,,unknown,,,,,,,
101380,,unknown,,unknown,,unknown,,,,,,,
101410,,unknown,,unknown,,unknown,,,,,,,
3906190,2024Q2,exact,2023Q4,backcast_award_minus_2q,2023Q3,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
101470,,unknown,,unknown,,unknown,,,,,,,
101530,,unknown,,unknown,,unknown,,,,,,,
601710,2019Q1,exact,2018Q3,backcast_award_minus_2q,2018Q2,from_applied_minus_1q,2019Q4,2020Q3,2020Q4,3.0,3.0,1.0,7.0
101590,,unknown,,unknown,,unknown,,,,,,,
101620,,unknown,,unknown,,unknown,,,,,,,
101640,,unknown,,unknown,,unknown,,,,,,,
101660,,unknown,,unknown,,unknown,,,,,,,
101680,,unknown,2020Q2,program_calendar,2020Q1,from_applied_minus_1q,,,,,,,
101690,,unknown,,unknown,,unknown,,,,,,,
101710,,unknown,,unknown,,unknown,,,,,,,
101720,,unknown,,unknown,,unknown,,,,,,,
101730,,unknown,,unknown,,unknown,,,,,,,
101740,,unknown,,unknown,,unknown,,,,,,,
101760,,unknown,,unknown,,unknown,,,,,,,
101770,,unknown,,unknown,,unknown,,,,,,,
101800,2024Q2,exact,2023Q4,backcast_award_minus_2q,2023Q3,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
101830,,unknown,,unknown,,unknown,,,,,,,
101860,,unknown,,unknown,,unknown,,,,,,,
2500085,2024Q2,exact,2023Q4,backcast_award_minus_2q,2023Q3,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
101920,,unknown,,unknown,,unknown,,,,,,,
101950,,unknown,,unknown,,unknown,,,,,,,
2902910,2024Q2,exact,2023Q4,backcast_award_minus_2q,2023Q3,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
102010,,unknown,2020Q2,program_calendar,2020Q1,from_applied_minus_1q,,,,,,,
102040,,unknown,,unknown,,unknown,,,,,,,
102070,,unknown,,unknown,,unknown,,,,,,,
102100,,unknown,,unknown,,unknown,,,,,,,
102130,,unknown,,unknown,,unknown,,,,,,,
102160,,unknown,,unknown,,unknown,,,,,,,
102190,,unknown,,unknown,,unknown,,,,,,,
102220,,unknown,,unknown,,unknown,,,,,,,
102250,,unknown,,unknown,,unknown,,,,,,,
102310,,unknown,,unknown,,unknown,,,,,,,
102350,,unknown,,unknown,,unknown,,,,,,,
